Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"WIFI_GPIO_0","Bidirectional","04 SENSOR","4","MAIN","R24.1,U4.18","1390","230","1D","{2}"
"WIFI_GPIO_0","Bidirectional","02 MCU","2","MAIN","U1.26,U1.35","520","310","4C","{2,4}"
"WIFI_GPIO_0","Bidirectional","02 MCU","2","MAIN","U1.26,U1.35","520","400","4C","{2,4}"
"LED0","Bidirectional","03 MODULE","3","MAIN","D3.2","950","480","3C","{2}"
"LED0","Bidirectional","02 MCU","2","MAIN","U1.21","520","260","4D","{3}"
"LED1","Bidirectional","03 MODULE","3","MAIN","D4.2","950","520","3C","{2}"
"LED1","Bidirectional","02 MCU","2","MAIN","U1.22","520","270","4D","{3}"
"KEY1","Bidirectional","03 MODULE","3","MAIN","SW5.3","860","250","3D","{2}"
"KEY1","Bidirectional","02 MCU","2","MAIN","U1.2","520","70","4D","{3}"
"GPS_PPS","Bidirectional","04 SENSOR","4","MAIN","D7.2,U3.3","340","90","4D","{2}"
"GPS_PPS","Bidirectional","02 MCU","2","MAIN","U1.19","520","240","4D","{4}"
"SDIO_CMD","Bidirectional","05 MEM","5","MAIN","R35.1,U13.3","950","830","3B","{2}"
"SDIO_CMD","Bidirectional","02 MCU","2","MAIN","U1.116","1120","340","2C","{5}"
"SDIO_D2","Bidirectional","05 MEM","5","MAIN","R37.1,U13.1","950","850","3B","{2}"
"SDIO_D2","Bidirectional","02 MCU","2","MAIN","U1.111","1120","390","2C","{5}"
"USART2_TX","Bidirectional","04 SENSOR","4","MAIN","R23.1,U4.21","1390","200","1D","{2}"
"USART2_TX","Bidirectional","02 MCU","2","MAIN","U1.36","520","410","4C","{4}"
"USART2_RX","Bidirectional","04 SENSOR","4","MAIN","R27.1,U4.22","1390","190","1D","{2}"
"USART2_RX","Bidirectional","02 MCU","2","MAIN","U1.37","520","430","4C","{4}"
"FSMC_NBL1","Bidirectional","05 MEM","5","MAIN","U11.40","500","470","4C","{2}"
"FSMC_NBL1","Bidirectional","02 MCU","2","MAIN","U1.142","1510","420","1C","{5}"
"LCD_BL","Bidirectional","06 TFT","6","MAIN","R45.1","500","600","4B","{2}"
"LCD_BL","Bidirectional","02 MCU","2","MAIN","U1.76","1510","710","1B","{6}"
"FSMC_A[0..18]","Bidirectional","05 MEM","5","MAIN","","500","390","4C","{2,6}"
"FSMC_A[0..18]","Bidirectional","02 MCU","2","MAIN","","1510","340","1C","{5,6}"
"T_SCK","Bidirectional","06 TFT","6","MAIN","U16.16","500","580","4B","{2}"
"T_SCK","Bidirectional","02 MCU","2","MAIN","U1.46","1510","690","1B","{6}"
"NRF_CE","Bidirectional","04 SENSOR","4","MAIN","U9.1","830","640","3B","{2}"
"NRF_CE","Bidirectional","02 MCU","2","MAIN","U1.91","1120","600","2B","{4}"
"NRF_CS","Bidirectional","04 SENSOR","4","MAIN","U9.2","830","650","3B","{2}"
"NRF_CS","Bidirectional","02 MCU","2","MAIN","U1.92","1120","590","2B","{4}"
"FSMC_A6","Bidirectional","06 TFT","6","MAIN","U15.8","500","450","4C","{2,5}"
"NRF_IRQ","Bidirectional","04 SENSOR","4","MAIN","U9.6","830","690","3B","{2}"
"NRF_IRQ","Bidirectional","02 MCU","2","MAIN","U1.93","1120","580","2B","{4}"
"USB_D+","Bidirectional","07 POWER","7","MAIN","R54.1","80","210","5D","{2}"
"USB_D+","Bidirectional","02 MCU","2","MAIN","U1.104","1120","470","2C","{7}"
"USB_D-","Bidirectional","07 POWER","7","MAIN","R56.1","80","230","5D","{2}"
"USB_D-","Bidirectional","02 MCU","2","MAIN","U1.103","1120","480","2C","{7}"
"FSMC_D[0..15]","Bidirectional","06 TFT","6","MAIN","","500","360","4C","{2,5}"
"FSMC_D[0..15]","Bidirectional","05 MEM","5","MAIN","","500","360","4C","{2,6}"
"FSMC_D[0..15]","Bidirectional","02 MCU","2","MAIN","","1510","310","1C","{5,6}"
"FSMC_NBL0","Bidirectional","05 MEM","5","MAIN","U11.39","500","450","4C","{2}"
"FSMC_NBL0","Bidirectional","02 MCU","2","MAIN","U1.141","1510","400","1C","{5}"
"FSMC_NE3","Bidirectional","05 MEM","5","MAIN","R30.2,U11.6","500","410","4C","{2}"
"FSMC_NE3","Bidirectional","02 MCU","2","MAIN","U1.125","1510","360","1C","{5}"
"FSMC_NWE","Bidirectional","06 TFT","6","MAIN","U15.9","500","410","4C","{2,5}"
"FSMC_NWE","Bidirectional","05 MEM","5","MAIN","U11.17","500","430","4C","{2,6}"
"FSMC_NWE","Bidirectional","02 MCU","2","MAIN","U1.119","1510","380","1C","{5,6}"
"FSMC_NOE","Bidirectional","06 TFT","6","MAIN","U15.10","500","470","4C","{2,5}"
"FSMC_NOE","Bidirectional","05 MEM","5","MAIN","U11.41","500","490","4C","{2,6}"
"FSMC_NOE","Bidirectional","02 MCU","2","MAIN","U1.118","1510","440","1C","{5,6}"
"KEY3","Bidirectional","03 MODULE","3","MAIN","SW8.3","1160","340","2C","{2}"
"KEY3","Bidirectional","02 MCU","2","MAIN","U1.29","520","340","4C","{3}"
"T_CS","Bidirectional","06 TFT","6","MAIN","U16.15","500","560","4C","{2}"
"T_CS","Bidirectional","02 MCU","2","MAIN","U1.7","1510","670","1B","{6}"
"SPI1_SCK","Bidirectional","05 MEM","5","MAIN","U12.6","610","750","4B","{2,4}"
"SPI1_SCK","Bidirectional","04 SENSOR","4","MAIN","U9.3","830","660","3B","{2,5}"
"SPI1_SCK","Bidirectional","02 MCU","2","MAIN","U1.133","1120","170","2D","{4,5}"
"SPI1_MOSI","Bidirectional","05 MEM","5","MAIN","U12.5","610","760","4B","{2,4}"
"SPI1_MOSI","Bidirectional","04 SENSOR","4","MAIN","U9.4","830","670","3B","{2,5}"
"SPI1_MOSI","Bidirectional","02 MCU","2","MAIN","U1.135","1120","150","2D","{4,5}"
"T_MOSI","Bidirectional","06 TFT","6","MAIN","U16.14","500","520","4C","{2}"
"T_MOSI","Bidirectional","02 MCU","2","MAIN","U1.49","1510","630","1B","{6}"
"F_CS","Bidirectional","05 MEM","5","MAIN","U12.1","440","730","4B","{2}"
"F_CS","Bidirectional","02 MCU","2","MAIN","U1.75","1120","760","2B","{5}"
"T_PEN","Bidirectional","06 TFT","6","MAIN","R46.2,U16.11","500","540","4C","{2}"
"T_PEN","Bidirectional","02 MCU","2","MAIN","U1.47","1510","650","1B","{6}"
"KEY4","Bidirectional","03 MODULE","3","MAIN","SW6.3","1260","250","2D","{2}"
"KEY4","Bidirectional","02 MCU","2","MAIN","U1.28","520","330","4C","{3}"
"IIC_SCL","Bidirectional","05 MEM","5","MAIN","R33.2,U14.6","680","890","3A","{2,4}"
"IIC_SCL","Bidirectional","04 SENSOR","4","MAIN","U10.5,U8.1","240","570","5B","{2,4,5}"
"IIC_SCL","Bidirectional","04 SENSOR","4","MAIN","U10.5,U8.1","430","850","4B","{2,4,5}"
"IIC_SCL","Bidirectional","02 MCU","2","MAIN","U1.139","1120","110","2D","{4,5}"
"T_MISO","Bidirectional","06 TFT","6","MAIN","U16.12","500","500","4C","{2}"
"T_MISO","Bidirectional","02 MCU","2","MAIN","R7.2,R8.2,U1.48","1510","610","1B","{6}"
"KEY5","Bidirectional","03 MODULE","3","MAIN","SW4.3","1260","210","2D","{2}"
"KEY5","Bidirectional","02 MCU","2","MAIN","U1.27","520","320","4C","{3}"
